valid_time,d,cc,z,o3,pv,r,ciwc,q,cswc,t,u,v,w,vo,expver
2025-10-01 00:00:00,0.6100451343342566,-0.1772302972565491,1.2117002916098871,-1.2585879476003778,-1.9960345434838147,2.64006737081166,-0.1329541469072316,2.083246479586339,-0.1123054124038765,-0.2946252842688456,1.456438827694969,-2.4422253548797466,0.3397348299739172,-2.972997609793189,-1.1977861500810496
2025-10-01 01:00:00,1.0279775469586918,1.6994804036098392,1.2490210585211032,-1.3460685099116014,-1.9755463171759124,3.301609638528367,0.0074392436893332,2.5283167615574067,-0.1123054124038765,-0.3430010752183287,1.2638828684566392,-2.01544902774418,-0.4663164724456297,-2.864960095302492,-1.1977861500810496
2025-10-01 02:00:00,1.819139727996467,4.238751636895789,1.2677930401151,-1.3751128831029025,-2.013846656448858,3.5707574292679625,0.5944137515000563,2.560742446281447,-0.1123054124038765,-0.4352032685198395,1.171858219939197,-1.992276794773619,-0.9765602618688282,-2.8286647852155244,-1.1977861500810496
2025-10-01 03:00:00,0.9705434785856244,7.828767579681076,1.2965227082325674,-1.4943168487903282,-1.946624998587522,3.4540352401503824,1.8318928991380987,2.3721008754725337,0.0988554023490475,-0.4975194370219654,0.9528685849116608,-1.7883814447276127,-0.1575124165002528,-2.117383583763924,-1.1977861500810496
2025-10-01 04:00:00,0.8578207099246671,7.565978705368475,1.3139241863726845,-1.4433827469439129,-1.8872710544295528,3.428083124942258,1.0152791784503554,2.348755034793138,-0.0771370635683323,-0.502948141741984,0.874750923959786,-1.812114396969649,0.4754369696411752,-1.5892107862173024,-1.1977861500810496
2025-10-01 05:00:00,0.2566344236930333,6.377637232097596,1.338420956679742,-1.412350466124618,-1.940668816824889,3.427081776101281,0.6070526733670748,2.43757588271856,-0.1123054124038765,-0.4422565633931129,1.0019365018800883,-1.6837599616997554,0.4335115393386858,-1.851456737784343,-1.1977861500810496
2025-10-01 06:00:00,0.5432373043108543,7.5912360274706385,1.3963266854682317,-1.5032486775614768,-2.098494903466216,3.499239907388576,1.9471537571037367,2.6674012045300253,0.2749894603657809,-0.3427624802948321,1.2324893868037474,-0.8584408138082563,-0.2895257045331465,-3.0968882930887864,-1.1977861500810496
2025-10-01 10:00:00,1.993538147124447,7.503532722528149,1.533326126442183,-1.531915671914384,-1.9551451188868088,3.4854753272363563,10.444445883517671,3.1838521986616133,15.05789201329755,-0.0629388901858447,0.4410631260203976,0.4844425427428718,-1.696229648394872,-1.6449410887117648,-1.1977861500810496
2025-10-01 11:00:00,1.4575795398229572,7.128254774445849,1.5581909748197118,-1.4863855380341104,-1.975999588793466,3.486372597447234,9.589722790780076,3.210686414570899,11.292195004733651,-0.0436743607448382,0.3350674425149116,0.6823195969107654,-2.0310752804442025,-1.8898545830137856,-1.1977861500810496
2025-10-01 12:00:00,1.8171119088967256,7.278397977670277,1.5491378205758006,-1.4695546759788511,-1.9783383592441148,3.4342843255509306,8.007717961453077,3.300421608973205,8.934116095611262,0.0255744647478862,0.3099920290373466,1.0721277087758136,-1.6581291240506313,-2.884614784015945,-1.1977861500810496
