valid_time,d,cc,z,o3,pv,r,ciwc,clwc,q,crwc,cswc,t,u,v,w,vo,expver
2025-10-01 00:00:00,1.209078244984197,-0.3230109463501491,0.9456041088531992,1.319597678046321,-0.5124870458748938,0.2794647296945617,-0.1971556147490877,-0.225579992199743,0.52653039190143,-0.1536405904036847,-0.1944378005300484,0.9745724753581952,-1.2782052150921115,-0.1494082693745589,0.8081665922761035,0.3152324132721266,-1.1977861500810496
2025-10-01 01:00:00,0.7842832461523624,-0.3230109463501491,0.9753461807457352,1.0912383001679564,-0.5029184085457667,0.1939983185028624,-0.1971556147490877,-0.225579992199743,0.4922640415757763,-0.1536405904036847,-0.1944378005300484,1.008333654085631,-1.2747615861226145,-0.0017792596341347,0.8079925570410038,-0.0463979969902047,-1.1977861500810496
2025-10-01 02:00:00,0.1707130114571112,-0.3230109463501491,0.9849841881040008,0.9723274223097084,-0.5530110044142812,0.1190459461940755,-0.1971556147490877,-0.225579992199743,0.4531172388747377,-0.1536405904036847,-0.1944378005300484,1.04395691246097,-1.2267338513263109,0.0672268968083013,0.9223220590789488,-0.4486362743361419,-1.1977861500810496
2025-10-01 03:00:00,-0.3531434029022866,-0.3230109463501491,1.0555854393864708,1.0596919922926964,-0.4998786719343776,-0.0571885515417146,-0.1971556147490877,-0.225579992199743,0.3522571571734357,-0.1536405904036847,-0.1944378005300484,1.1147590504532985,-1.2286536661749037,0.1080394461043588,1.5072630892051833,-0.7856468231484898,-1.1977861500810496
2025-10-01 04:00:00,-1.23403959488251,-0.3230109463501491,1.035618357071122,1.3531824121919962,-0.3106974738395515,-0.3018344808069649,-0.1971556147490877,-0.225579992199743,0.1965404734845578,-0.1536405904036847,-0.1944378005300484,1.2143048667148717,-1.3016452065929456,0.0898567090171803,1.3551610571857942,-0.980823716899543,-1.1977861500810496
2025-10-01 05:00:00,-1.3282212885448723,-0.3230109463501491,1.0092746755086772,1.7005237578516106,-0.1961054065123814,-0.5141383574490141,-0.1971556147490877,-0.225579992199743,0.054533502808399,-0.1536405904036847,-0.1944378005300484,1.3113386164879668,-1.4039746034377467,0.1000662131339825,1.1689067845660697,-0.8816933486257278,-1.1977861500810496
2025-10-01 06:00:00,-1.1410318155068968,-0.3230109463501491,0.9945144566383852,1.894359705514058,-0.2100408599557069,-0.6421598800373918,-0.1971556147490877,-0.225579992199743,-0.0417021677289571,-0.1536405904036847,-0.1944378005300484,1.3780120115388126,-1.579299857689655,0.1777418917976102,0.5434226437502953,-0.6494903885661233,-1.1977861500810496
2025-10-01 10:00:00,-0.7563857135764137,-0.3230109463501491,1.1428415737132902,2.189334359370983,-0.2620866084453448,-0.5819290973758675,-0.1971556147490877,-0.225579992199743,-0.0021469214295788,-0.1536405904036847,-0.1944378005300484,1.3528299958552237,-1.67572250657334,0.7840434448368752,0.9170377863313424,-0.5760464620412405,-1.1977861500810496
2025-10-01 11:00:00,-0.5057195206092064,-0.3230109463501491,1.1726375150177668,2.374016552187112,-0.0390554346220957,-0.6549046697156251,-0.1971556147490877,-0.225579992199743,-0.0733882104067742,-0.1536405904036847,-0.1944378005300484,1.3857438703083245,-1.726731016469736,0.9432396700538452,0.2104828823253022,-0.1354499858988217,-1.1977861500810496
2025-10-01 12:00:00,0.176844977114479,-0.3230109463501491,1.18903382488483,2.3931497867897424,0.0010778520885565,-0.6276210035367522,-0.1971556147490877,-0.225579992199743,-0.0582592176570039,-0.1536405904036847,-0.1944378005300484,1.3856228268405666,-1.7594826212450465,0.9976217602914076,0.0770519237862667,-0.213907160709618,-1.1977861500810496
2025-10-01 13:00:00,0.0048354729771475,-0.3230109463501491,1.2213246895249397,2.0538113119403736,-0.0150453635956862,-0.4605544044807269,-0.1971556147490877,-0.225579992199743,0.0810716737348406,-0.1536405904036847,-0.1936812647314903,1.3057523775442572,-1.7768407320101112,0.9232376682277592,-0.838237740341046,-0.069415093855309,-1.1977861500810496
2025-10-01 14:00:00,-0.0144732808409553,-0.3230109463501491,1.2170197539482797,1.59675719719905,-0.2651059681648739,-0.1726016985837103,-0.1971556147490877,-0.225579992199743,0.2999345049404113,-0.1536405904036847,-0.1861352501031005,1.198313863932722,-1.760369031930512,0.8064653135600423,-0.5074931339236354,-0.0075404150188434,-1.1977861500810496
2025-10-01 15:00:00,0.2279466568480795,-0.3230109463501491,1.2213246895249397,1.3736074743302145,-0.4562542935735519,-0.0128576830587621,-0.1971556147490877,-0.225579992199743,0.4093976493677731,-0.1536405904036847,-0.1801026553756336,1.1389279488930195,-1.7901145075968752,0.7706474988015045,-0.1832123092315366,0.0243748885260228,-1.1977861500810496
2025-10-01 16:00:00,0.7398170381439859,-0.3230109463501491,1.19160108714506,1.3427374479833336,-0.5589498013582891,0.0082537913551216,-0.1971556147490877,-0.225579992199743,0.4163530888487635,-0.1536405904036847,-0.1887813308900209,1.121195909930725,-1.868338339768104,0.6998434094626804,0.6019174443789944,-0.2585540767287417,-1.1977861500810496
2025-10-01 20:00:00,0.2976458522544819,-0.3230109463501491,1.1291972212330967,2.9836010511773057,-0.2949869590563249,-0.6392131011035262,-0.1971556147490877,-0.225579992199743,-0.0838256933307893,-0.1536405904036847,-0.1942496512109116,1.3805622150102914,-2.228732610831077,0.5346684110554989,0.882703827499479,-0.9478202321581832,-1.1977861500810496
2025-10-01 21:00:00,0.1202120083059644,-0.3230109463501491,1.068133934115295,3.267928289088322,-0.4213703282649346,-0.6660922351178435,-0.1971556147490877,-0.225579992199743,-0.1041083444413354,-0.1536405904036847,-0.1944378005300484,1.4196692038756118,-2.315637239708793,0.7091724770911126,0.4163872603674775,-0.888680677369378,-1.1977861500810496
2025-10-01 22:00:00,0.3806731045789482,-0.3230109463501491,1.0670811718934703,3.0417912440203114,0.2267605345446656,-0.6398493474224523,-0.1971556147490877,-0.2239701457580015,-0.1038978809061833,-0.1536405904036847,-0.1940605172454544,1.374166808775248,-2.3125939284560486,0.5938936592446891,-0.0954819278101936,-0.658437884464022,-1.1977861500810496
2025-10-01 23:00:00,1.0522552709299318,-0.3230109463501491,1.1081881505783076,3.181802847371915,0.3172779925477276,-0.6253339125365472,-0.1942847947330323,-0.2159124870099468,-0.0944132379907113,-0.1536405904036847,-0.1942496512109116,1.3571245517662298,-2.4127033275107057,0.7220941378079737,0.1650788341426083,-0.6571615011438594,-1.1977861500810496
2025-10-02 00:00:00,1.1514290690967577,-0.3157682136576433,1.140917666144171,3.3415187228598224,0.3715417932526694,-0.5899241850505302,-0.1885281313778366,-0.1917310962377643,-0.0546178799102651,-0.1536405904036847,-0.1916084939086745,1.3593497618174164,-2.5266533532566617,0.7889094195300774,0.0406435098207135,-0.8801147107815214,-1.1977861500810496
2025-10-02 01:00:00,0.6342919291484851,-0.2867593850562378,1.147717525056475,3.2342656651139685,0.4243794180499624,-0.4274178928958506,-0.179900648489282,-0.1255720096844208,0.0899702436488109,-0.1536405904036847,-0.1944378005300484,1.3276927496734,-2.6417532754552817,0.8756588685433963,-0.155651326633256,-0.9067210109764569,-1.1977861500810496
2025-10-02 02:00:00,-0.2212210283367403,-0.1706002973924897,1.1714770139720727,3.0467459025669,0.4018500104646724,-0.0283364514673198,-0.1568726739283641,-0.0271396428459722,0.4194020468399352,-0.1536405904036847,-0.1944378005300484,1.2472154249085905,-2.762181496753322,1.107282378606136,-0.2360594160155656,-0.7919392487039477,-1.1977861500810496
2025-10-02 06:00:00,0.2314503547981279,-0.2577093083027837,1.0745551680179863,3.420476445817942,0.9353098110707196,1.1857034611548498,-0.1942847947330323,-0.2183184604042067,1.5282723212869362,-0.1536405904036847,-0.1944378005300484,1.212645078889811,-2.841975920112545,1.4219762780328382,0.4980905677269052,0.2198108773385973,-1.1977861500810496
2025-10-02 07:00:00,-0.0364861019355802,-0.0761449140448287,1.0325293310781356,3.1504497186352456,0.957556971167408,1.518932440968944,-0.1655315262926611,-0.1884723787157839,1.8187335207823545,-0.1536405904036847,-0.1929306363363258,1.2022005199386696,-2.789345638493854,1.3780771471027646,0.3368953529432809,0.2541277045527517,-1.1977861500810496
2025-10-02 08:00:00,0.1847846745781479,0.0981075168511514,1.0800252220185131,2.649849317015996,0.9074428281125688,1.669311129759813,-0.1885281313778366,-0.2045957421105353,1.9962429005629048,-0.1536405904036847,-0.1934960690665975,1.2254358913598975,-2.79092329044954,1.2998846511339526,0.5753503802966908,0.3035832981417818,-1.1977861500810496
2025-10-02 09:00:00,-0.0019936531419015,-0.2357882512366688,1.0386858352993185,1.8450325715496176,0.891345496588256,1.7196109198064653,-0.1942697723753403,-0.2158864697948048,2.119063359992321,-0.1536405904036847,-0.1942496512109116,1.2750272342890423,-2.797017523031906,1.2411146512647464,0.5602055040767847,0.2815091225048513,-1.1977861500810496
2025-10-02 10:00:00,-0.4664954916972064,-0.3230109463501491,1.042652163143823,1.873873444224735,0.4327958316375112,1.5567658196406915,-0.1971556147490877,-0.225579992199743,1.974315552021032,-0.1536405904036847,-0.1942496512109116,1.28073451670051,-2.825074354463154,1.2816267142808926,0.7289663928603064,0.6617675439939519,-1.1977861500810496
2025-10-02 11:00:00,0.3202655784109507,-0.3230109463501491,1.107038423415008,0.768423596117128,0.4651049426007216,1.6615407091497327,-0.1971556147490877,-0.225579992199743,2.0544680244203284,-0.1536405904036847,-0.1944378005300484,1.2733259932215897,-2.837660037967874,1.3977813130785164,0.2441098825577953,0.645753077684163,-1.1977861500810496
2025-10-02 12:00:00,0.917768213745969,-0.2940021247169646,1.1402173637890196,-0.0639945846711653,0.4096341896777535,1.7423704638818154,-0.1942847947330323,-0.2239701457580015,2.114083625003968,-0.1536405904036847,-0.1944378005300484,1.263246222803432,-2.7431891662556662,1.435406712577299,0.5618872505310251,0.1565177301561288,-1.1977861500810496
2025-10-02 16:00:00,0.3855471210681295,-0.3230109463501491,1.0361601294425844,1.7813783454073853,0.4431642963925697,1.1047583970468606,-0.1971556147490877,-0.223965933841717,1.6536834262394084,-0.1536405904036847,-0.1944378005300484,1.4108429795071564,-2.6618286582576114,1.2138564152868483,0.5887026905218711,-0.405516519760491,-1.1977861500810496
