valid_time,d,z,o3,pv,r,q,t,u,v,w,vo,expver
2025-10-01 00:00:00,-0.1285255847632056,1.3547968852707457,0.2302550271770942,-0.0424985742960581,-0.5975510041164168,-0.4121631037970509,0.6356664200310382,-1.3350871631942716,-0.1340126445603701,-0.3869871063939258,0.2338310031479645,-1.1977861500810496
2025-10-01 01:00:00,-0.0521764606587432,1.3726378936658312,0.0541785783145575,-0.0511925853336051,-0.4899570234545326,-0.4449751151951381,0.4477026594503177,-1.2196425485249671,-0.0634512444412884,-0.7336254516899752,0.2512009240374734,-1.1977861500810496
2025-10-01 02:00:00,-0.2977657690738527,1.356241791751913,0.0110848774000945,-0.0322056000091371,-0.4633657143422642,-0.4603328383866221,0.4018520697503489,-1.1034920089459563,-0.2434155223080933,0.0058235731567982,0.2185212235882557,-1.1977861500810496
2025-10-01 03:00:00,-0.1479892564716641,1.4063216355352322,-0.0081489866846047,-0.0335273255761192,-0.4480561409730873,-0.4595577757208815,0.377392754042136,-1.0278943918648382,-0.3711304556630755,-0.5827464771165118,0.4176176522685987,-1.1977861500810496
2025-10-01 04:00:00,0.2647141572076729,1.3843867254435196,-0.230278285103764,-0.1226901500942068,-0.3593422184573382,-0.4728261104034018,0.2362776208281863,-1.0519091144242556,-0.4810334233707811,-0.4048380350995966,0.2333809253479418,-1.1977861500810496
2025-10-01 05:00:00,0.3941383357087247,1.3601768562112495,-0.4901701446682955,-0.2156022583992026,-0.2256871134072602,-0.4940583164979016,0.037623767905294,-1.0568207409006554,-0.4908144162192469,-0.5600524574124076,0.0332651042495074,-1.1977861500810496
2025-10-01 06:00:00,0.2010662908921092,1.3742672562935232,-0.5494554726976734,-0.2786563428005266,-0.2065143181121456,-0.4994940073097297,0.0112127340931165,-1.1630938201918848,-0.4044762110089792,-0.0879999653742824,-0.1063602751663108,-1.1977861500810496
2025-10-01 10:00:00,0.1732114315262021,1.5581802819492054,-0.0444084920250025,-0.1955401466981049,-0.6681868544581142,-0.4494604315477915,0.7615781127874037,-1.36620215565455,-0.1924303636009969,-0.4142190091919731,-0.0229946373901835,-1.1977861500810496
2025-10-01 11:00:00,0.328832791292829,1.569355250159909,-0.0282106031810488,-0.2144295904516773,-0.6132458815982151,-0.4720992328504794,0.6601959680195086,-1.3863802213242924,-0.1057891327270796,-0.3898260269984604,-0.1440143749428737,-1.1977861500810496
2025-10-01 12:00:00,0.5437427605185932,1.5676285356771018,-0.1468421906800656,-0.2331224598094219,-0.5355809982903333,-0.5041279798615005,0.5227033418924579,-1.3661184390011156,-0.0402817111615754,-0.2459140505807696,-0.3330969900389481,-1.1977861500810496
2025-10-01 13:00:00,-0.0696355056479448,1.5957785931505613,0.0423092300863365,-0.2261152604409019,-0.6686933884012921,-0.5054710117293805,0.7605209321477567,-1.2641528114024003,-0.0510811359622396,0.2642365301362865,-0.4071116978510594,-1.1977861500810496
2025-10-01 14:00:00,-0.4622818159338455,1.5814627466669704,0.2223218981567719,-0.242811882916877,-0.7612924607193067,-0.5157651972144061,0.9374804033430484,-1.2001513853027057,0.0003756405827691,-0.1448789812443529,-0.2341375516349624,-1.1977861500810496
2025-10-01 15:00:00,0.0376566424470302,1.5633655491794796,0.074443941840486,-0.3130172760541452,-0.6593014701330729,-0.5541625808386044,0.7355515082987304,-1.1232336628019617,-0.168176111914621,-0.7864220816257685,-0.1479483495395211,-1.1977861500810496
2025-10-01 16:00:00,0.2169319705744248,1.5087050444239585,-0.0971153920279665,-0.3801472288765489,-0.5309989596946708,-0.5837943747907701,0.5053596651049506,-1.1488544424918736,-0.3728141368475487,-0.3430766287004093,-0.239845941928589,-1.1977861500810496
2025-10-01 20:00:00,0.2804416524355496,1.483403809658041,-0.6290911792664633,-0.3493105356187521,-0.1613521339099677,-0.62606194566783,-0.0650336472146292,-1.2187160343319772,-0.7145456522925969,-0.0322910389368452,-0.2642073606029323,-1.1977861500810496
2025-10-01 21:00:00,-0.0001740844862433,1.442608258583476,-0.5209824274166568,-0.2324666469543754,-0.2996698102919843,-0.592662485979442,0.1364923363271742,-1.4448401769769692,-0.6259012405719013,0.3270473447076231,-0.2413615594562329,-1.1977861500810496
2025-10-01 22:00:00,-0.3420730338071234,1.5341958591182532,-0.302326702763743,-0.2175947771458786,-0.5999895928010128,-0.5449961320365365,0.6288427995387649,-1.5410170153902638,-0.2458103383076708,0.4213172071532434,-0.053677200756369,-1.1977861500810496
2025-10-01 23:00:00,-0.3538775660367613,1.5641341164566944,-0.1790823884849398,-0.111390037057903,-0.6657629887761957,-0.5603733343161774,0.7469734949298903,-1.469393890089054,0.0141538546957276,-0.2016510883015042,0.4691028493222479,-1.1977861500810496
2025-10-02 00:00:00,-0.0422099735079453,1.5928631612789916,-0.2366002230753322,-0.0792248398056818,-0.6011733587627365,-0.6096605534370364,0.625005899175289,-1.4158014573118296,0.0286491260348239,-0.3818507734684624,0.6981313623281086,-1.1977861500810496
2025-10-02 01:00:00,0.1186847723408538,1.625142986922018,-0.2954970830685919,-0.0982000306663999,-0.5276203960448125,-0.649493238294084,0.4930172659588547,-1.38178396677903,-0.0280943195450509,-0.6337932212273629,0.604324709794553,-1.1977861500810496
2025-10-02 02:00:00,0.713764724477937,1.6277356205371551,-0.5000379071257833,-0.1396531647686661,-0.373172077848207,-0.6935795408761984,0.2384880894383565,-1.293320598696494,-0.0899276319170443,-0.7322219401537132,0.2967504347515445,-1.1977861500810496
2025-10-02 06:00:00,0.3688711798942192,1.6226118386890556,-0.34933687435606,-0.4250102509036851,-0.5850682994705301,-0.6762534045653812,0.5963437359591063,-1.2257709710769555,-0.4757053760747571,-0.2817603199295096,-0.8001076864278723,-1.1977861500810496
2025-10-02 07:00:00,0.2580753816397628,1.6216536914834634,-0.2531921191772485,-0.514219372081204,-0.6550456348024049,-0.6624447814902127,0.7244400222750236,-1.2696320556779002,-0.6127851795281043,0.199607722294707,-1.0368554151396825,-1.1977861500810496
2025-10-02 08:00:00,-0.732229776839617,1.6992123773181422,0.0345880365103941,-0.4745318827591189,-0.8703390065602358,-0.6117489167308301,1.15632418862173,-1.2878143309418684,-0.7031181898688059,0.0647104226804779,-0.8346018294221642,-1.1977861500810496
2025-10-02 09:00:00,-0.677934376034206,1.7459054012998747,0.0009105310554508,-0.3665083550198144,-0.872726534618525,-0.5990957111481017,1.1602608927518965,-1.3152799063455842,-0.6905107302854501,-0.530194852833596,-0.2912989823174287,-1.1977861500810496
2025-10-02 10:00:00,-0.2307040791861047,1.750004426778354,0.2333916717539226,-0.4397379435604834,-0.7684470568820837,-0.610499179443085,0.9404523377286396,-1.366377857272869,-0.6771337595200049,-0.5646614067383406,-0.0964970441370311,-1.1977861500810496
2025-10-02 11:00:00,-0.2668085864070174,1.7550923421535134,0.1957345966592753,-0.3767736055384957,-0.7363831763490875,-0.6014742103339659,0.8774946431325548,-1.4399078886317622,-0.643261068920708,-0.1384998673343673,0.0573249442691811,-1.1977861500810496
2025-10-02 12:00:00,-0.4948235024076595,1.7723851058908489,0.1450858788241236,-0.3224304104590503,-0.7063841708369821,-0.6016977072402224,0.8188839570407591,-1.4956945156502943,-0.5108611813954252,-0.664360340841439,0.3860764607948205,-1.1977861500810496
2025-10-02 16:00:00,0.3659546569344875,1.6177135032422738,-0.2272100378748961,-0.3521099583681651,-0.2913425687333357,-0.6735775929812868,0.1165278865553635,-1.3295638242276429,-0.2959244177937229,-0.1771387432184472,-0.1571694217169988,-1.1977861500810496
2025-10-02 17:00:00,0.4859204874461004,1.594016012194814,-0.2431244630619921,-0.3807073981203844,-0.2969636754115715,-0.6827912016810072,0.1250740461318185,-1.286901065648799,-0.2842049490595547,-0.2368835955944128,-0.3401513970028051,-1.1977861500810496
2025-10-02 18:00:00,0.3344933972140938,1.5665730366163946,-0.1925335458025779,-0.3909628877035488,-0.3601874858805549,-0.6833591708831509,0.2217765031731571,-1.1723511214816196,-0.4692337400340763,0.1190040829460991,-0.6253965574394634,-1.1977861500810496
2025-10-02 19:00:00,-0.4750314339379254,1.5246809962263288,0.0583007227077526,-0.4116682721689247,-0.5550383338854188,-0.6646828261982894,0.5404092693886551,-1.163400309034104,-0.6736596850002192,0.4106244137202659,-0.6840984183310673,-1.1977861500810496
2025-10-02 20:00:00,-0.7657056307056339,1.5633655491794796,0.1961093370586574,-0.4102793723859887,-0.6412023576395923,-0.651451399261756,0.6939703019511955,-1.222349217699464,-0.7561775551162399,-0.4912087975488119,-0.2586124574301227,-1.1977861500810496
2025-10-02 21:00:00,0.0183676249377277,1.556417700993458,-0.0404549326443841,-0.3886892675708386,-0.4549422772785337,-0.6638534271287364,0.3705617406782649,-1.3248883970363163,-0.8090158781642632,-0.8400408818968184,0.0035890753888767,-1.1977861500810496
2025-10-02 22:00:00,0.2624466087999859,1.617042287820174,-0.2093383406918025,-0.3594861753266465,-0.5100196206455017,-0.6549853159400646,0.4627767246548095,-1.4971671482506508,-0.9644280149313194,-0.2750803814468107,-0.139422840519704,-1.1977861500810496
2025-10-03 02:00:00,0.3154590644717389,1.5926069721865863,-0.7807601308441016,-0.1715717628305351,-0.0283351822702652,-0.6656249989361386,-0.2457782686721597,-1.740908713077152,-0.411528151612179,-0.2073114938032983,0.1252880292004426,-1.1977861500810496
2025-10-03 03:00:00,0.2564407119754651,1.6103147622536171,-0.490421818008497,-0.2099158356178225,-0.2654193811290913,-0.6643096478777497,0.0817666042642872,-1.7694729822409745,-0.2268243725971345,0.2223304492744256,-0.25135752882473,-1.1977861500810496
2025-10-03 04:00:00,0.0771302719744176,1.5938879176486114,-0.4026685022484789,-0.3156046018088869,-0.375023678167193,-0.6713959351073582,0.2455039245923819,-1.6549333378238344,-0.1439446064794707,-0.2594155024700705,-0.3666507466647863,-1.1977861500810496
2025-10-03 05:00:00,-0.0288342109368764,1.595742726677621,-0.3611363802219281,-0.3858356851861619,-0.4207105129151341,-0.6810186046584393,0.3151706501708433,-1.5408568435853691,-0.1415557915070023,-0.1776956593334169,-0.3629377808087625,-1.1977861500810496
2025-10-03 06:00:00,-0.0013184953076228,1.602629089481468,-0.2743642292350989,-0.3614904885370723,-0.4767160058569158,-0.6880772110785566,0.4038666272629629,-1.4355474502493826,-0.1483222116260671,-0.1714268105471016,-0.2509219046493469,-1.1977861500810496
2025-10-03 07:00:00,-0.0080878875996588,1.6157920850492364,-0.2275496162573686,-0.3701737218749859,-0.5090326051645927,-0.6944735285012295,0.4574058034331,-1.3575476035777612,-0.2453645982613312,-0.3006058211305536,-0.264719751982554,-1.1977861500810496
2025-10-03 08:00:00,-0.1286156085857946,1.656782339834032,-0.188926067369203,-0.3563542707111868,-0.5510628621163735,-0.6980176973311993,0.5285030496673109,-1.2992209655374023,-0.2612198752987098,-0.2357396723025674,-0.1686956252789623,-1.1977861500810496
2025-10-03 16:00:00,0.9758604431618068,1.6295955533480175,-0.3592482280810852,-0.6031237351609149,-0.146153557362394,-0.8040905592993878,-0.1029812571678528,-1.1676732262706038,-0.4399305936336825,-1.302791899623011,0.4984865020859433,-1.1977861500810496
2025-10-03 17:00:00,1.3624403946140142,1.587898216668182,-0.4898765659106813,-0.6735196021093134,0.0352131085591438,-0.8088178264312891,-0.3396492558884326,-1.0827786948472635,-0.7634911352603234,-0.4855700394965697,-0.3807957576364801,-1.1977861500810496
2025-10-03 18:00:00,0.9904298619802114,1.5345494000657731,-0.475542986470076,-0.6400631144293258,0.0265585151324552,-0.7844156550425291,-0.3229154910084084,-1.189081497292586,-1.084980041092301,-0.0843605218840428,-0.9415545638414736,-1.1977861500810496
2025-10-03 19:00:00,0.5171374806494377,1.489265416092268,-0.4253239195812588,-0.6423416828140689,-0.0098627737869142,-0.7467082412252619,-0.2707181210347529,-1.2699741570641567,-1.2757622185375517,0.042949175575961,-1.317806127856881,-1.1977861500810496
2025-10-03 20:00:00,-0.2029160919763618,1.4563451177182292,-0.2406038762882608,-0.5812268387197244,-0.1390550339119416,-0.7020549946561694,-0.0968858345287634,-1.37441642014661,-1.2429199074375257,0.2991223863832568,-1.1989968294610829,-1.1977861500810496
2025-10-03 21:00:00,-0.9070032094258004,1.4301830876018349,0.0431194014896276,-0.4595772483515511,-0.3671918760904848,-0.6646735992617938,0.2331837040611004,-1.546876076313194,-0.976655173179451,0.2853309683664746,-0.4796057495450319,-1.1977861500810496
2025-10-03 22:00:00,-0.9978035050950006,1.525546915358659,-0.0345534938613243,-0.5091788656508046,-0.443194783000389,-0.6526078419693662,0.3531552244821083,-1.616475372010209,-0.6227629484139589,-0.3419708440683473,0.2422079417216194,-1.1977861500810496
2025-10-04 02:00:00,-0.1805032126026305,1.5488601227675114,-0.1705794421221129,-0.4820954554521066,-0.3157515581632847,-0.6925543257098801,0.1511376149785122,-1.575845637968121,-0.4141911008404903,-0.6342316751718655,-0.2592243609720189,-1.1977861500810496
2025-10-04 03:00:00,-0.0205710595084826,1.5079672198378309,-0.2717795801565892,-0.485149408151979,-0.2618062414117523,-0.7045626709529895,0.0705811895245186,-1.601173685575382,-0.4531675360656894,-0.2186018111889683,-0.219768157017691,-1.1977861500810496
2025-10-04 04:00:00,0.0443999034109078,1.4709786386764,-0.2798622681666378,-0.4824131603463288,-0.2913606853359211,-0.7119103880500115,0.1125690038103826,-1.5519387242110187,-0.216230646758447,-0.4786893709871815,-0.1641041859235379,-1.1977861500810496
2025-10-04 05:00:00,0.3855752011413074,1.4553203613486092,-0.411532943045414,-0.5140930221936784,-0.2001098119474759,-0.7354636812810573,-0.0213343831519854,-1.444334687341385,-0.147000282313765,-0.5396350680751064,-0.2865664148942741,-1.1977861500810496
2025-10-04 06:00:00,0.3087068316501119,1.4783466369739693,-0.4791283080160872,-0.5345478759807856,-0.1313800161509789,-0.7556501679059074,-0.1171275169858003,-1.3325207256511502,-0.2300570132177501,-0.4465185990515167,-0.3339410014807184,-1.1977861500810496
2025-10-04 07:00:00,0.5456346696164784,1.5017879389290243,-0.5494819646282211,-0.6338675639627516,-0.061151554425919,-0.7758284528094276,-0.2128615078467596,-1.2342404394966784,-0.2797614767442306,-0.3629001221210772,-0.4402718977787598,-1.1977861500810496
2025-10-04 08:00:00,0.5076700927091128,1.5154581888997498,-0.5447519508468265,-0.7605607110536735,-0.1131884933215443,-0.7792126880734532,-0.1410027958371486,-1.2246339000561703,-0.196452348929324,0.1351311812647126,-0.7697133399447703,-1.1977861500810496
2025-10-04 12:00:00,0.1320503890345777,1.5749299248106436,-0.4729540023483865,-0.903767869785274,-0.2625029735774612,-0.7533393329210227,0.0673615939401341,-1.3033677108359192,-0.7814892585337025,-0.1570349349506886,-0.7437258112559395,-1.1977861500810496
2025-10-04 13:00:00,0.4193607261560506,1.5344827909017456,-0.5389213177690482,-0.8727477522808875,-0.171377637280994,-0.763614039317887,-0.0639062342947245,-1.2729023243234108,-0.6858868013197772,-0.6825327658742406,-0.7179603608198657,-1.1977861500810496
2025-10-04 14:00:00,0.3164118987755116,1.5315366163390882,-0.6006932747339101,-0.8035268579453447,-0.0473325545547553,-0.7775067300366948,-0.2314508834998725,-1.170189626273741,-0.6956988632413457,-0.7771181064346104,-0.7330278378900453,-1.1977861500810496
2025-10-04 15:00:00,0.3781819771008856,1.4857761206537137,-0.7665248123822539,-0.7276240609742395,0.1947856581982376,-0.8070647084968826,-0.5308917550263829,-1.1886520529568172,-0.6312283084426494,-0.6072293802592321,-0.6444254599177132,-1.1977861500810496
2025-10-04 16:00:00,0.6443077528505029,1.4030270438069077,-0.8405336329027497,-0.6809076135315442,0.3301255550795204,-0.8194103495297149,-0.6836247859690486,-1.2736377496417517,-0.5891262637979146,-0.1511287136520426,-0.634888881660896,-1.1977861500810496
2025-10-04 17:00:00,0.515050144249672,1.3727301217390937,-0.6636029396979225,-0.6525863269133262,0.1810657514443852,-0.8006499372012141,-0.5101103929421205,-1.214915978976179,-0.6872307365819257,0.0748657786775224,-0.8237378677731734,-1.1977861500810496
2025-10-04 18:00:00,0.0843253419350464,1.353546682499808,-0.4000289426230169,-0.5981365749544867,-0.0039413335168286,-0.7762385388759585,-0.2815043207078112,-1.234664190458507,-0.8161857821889978,0.036201551828579,-0.7814343373166219,-1.1977861500810496
2025-10-04 22:00:00,0.2355883981491585,1.4320378966308442,0.0285815933480738,-0.575177295580258,-0.1972952123930832,-0.669345504774717,-0.0174420362514685,-1.4620587128267837,-0.9669312687045972,-0.5552208090686187,-0.6245291593323771,-1.1977861500810496
2025-10-04 23:00:00,0.2179315660786895,1.4283897639549998,0.0430847211441822,-0.625499053010986,-0.1411685940392037,-0.6464165675799587,-0.0929823983208341,-1.5504513013121632,-1.0006625048748434,-0.1070353648261195,-0.8279877287201409,-1.1977861500810496
2025-10-05 00:00:00,-0.5488274645886637,1.442444297564333,0.2742643855455731,-0.5395774691430024,-0.3363078980362403,-0.6153299933067868,0.1893957255391888,-1.6762332743642174,-0.830430988894084,0.0397482011260745,-0.6048009385205316,-1.1977861500810496
