Input_Len,Pred_Len,Rate,Model,Loss,Active_Features_Count,Active_Features
100,900,10,FiLMLSTM,FadeDist,1,091|era5_surface_merged_all_filter_normalized|es
100,900,10,FiLMLSTM,RMSE,1,139|era5_surface_merged_all_filter_normalized|v10
100,900,10,FiLMLSTM,W1,1,139|era5_surface_merged_all_filter_normalized|v10
100,900,10,FiLMLSTM,W2,1,149|era5_surface_merged_all_filter_normalized|v100
100,1500,10,FiLMLSTM,TailMSE,1,016|era5_pressure_merged_5hPa_filtered_normalized|r
100,1500,10,FiLMLSTM,FadeTailDist,1,110|era5_surface_merged_all_filter_normalized|avg_ingwss
100,1500,10,FiLMLSTM,TailW1,1,098|era5_surface_merged_all_filter_normalized|mgws
100,1500,10,FiLMLSTM,FadeDist,1,098|era5_surface_merged_all_filter_normalized|mgws
100,1500,10,FiLMLSTM,RMSE,1,181|era5_surface_merged_all_filter_normalized|tsn
100,1500,10,FiLMLSTM,W1,1,141|era5_surface_merged_all_filter_normalized|t2m
100,1500,10,FiLMLSTM,W2,1,098|era5_surface_merged_all_filter_normalized|mgws
100,2100,10,FiLMLSTM,TailMSE,1,000|era5_pressure_merged_1hPa_filtered_normalized|d
100,2100,10,FiLMLSTM,FadeTailDist,1,056|era5_pressure_merged_650hPa_filtered_normalized|r
100,2100,10,FiLMLSTM,TailW1,1,232|era5_surface_merged_all_filter_normalized|totalx
100,2100,10,FiLMLSTM,FadeDist,1,004|era5_pressure_merged_1hPa_filtered_normalized|r
100,2100,10,FiLMLSTM,RMSE,1,007|era5_pressure_merged_1hPa_filtered_normalized|u
100,2100,10,FiLMLSTM,W1,1,091|era5_surface_merged_all_filter_normalized|es
100,2100,10,FiLMLSTM,W2,1,110|era5_surface_merged_all_filter_normalized|avg_ingwss
100,2700,10,FiLMLSTM,FadeDist,1,098|era5_surface_merged_all_filter_normalized|mgws
100,2700,10,FiLMLSTM,RMSE,1,004|era5_pressure_merged_1hPa_filtered_normalized|r
100,2700,10,FiLMLSTM,W1,1,098|era5_surface_merged_all_filter_normalized|mgws
100,2700,10,FiLMLSTM,W2,1,139|era5_surface_merged_all_filter_normalized|v10
100,2700,10,FiLMLSTM,TailMSE,1,181|era5_surface_merged_all_filter_normalized|tsn
100,2700,10,FiLMLSTM,FadeTailDist,1,237|era5_surface_merged_all_filter_normalized|mn2t
100,2700,10,FiLMLSTM,TailW1,1,085|era5_surface_merged_all_filter_normalized|ttrc
100,100,10,Fusion,TailMSE,1,020|era5_pressure_merged_5hPa_filtered_normalized|v
100,100,10,Fusion,FadeTailDist,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,100,10,Fusion,TailW1,1,042|era5_pressure_merged_200hPa_filtered_normalized|ciwc
100,100,10,Fusion,FadeDist,1,046|era5_pressure_merged_200hPa_filtered_normalized|u
100,100,10,Fusion,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,100,10,Fusion,W1,1,034|era5_pressure_merged_30hPa_filtered_normalized|vo
100,100,10,Fusion,W2,1,013|era5_pressure_merged_5hPa_filtered_normalized|z
100,300,10,Fusion,TailMSE,1,016|era5_pressure_merged_5hPa_filtered_normalized|r
100,300,10,Fusion,FadeTailDist,1,059|era5_pressure_merged_650hPa_filtered_normalized|q
